Species	Status	min_age	max_age
Symphalangus_syndactylus	extinct	0.0117	0.126
Pongo_pygmaeus	extinct	0.0117	0.126
Homo_sapiens	extant	0.0117	0.126
Homo_sapiens	extant	0.0117	0.126
Homo_sapiens	extant	0.0117	0.126
Neosaimiri_annectens	extinct	15.5	16.3
Morotopithecus_bishopi	extinct	20	22.4
Australopithecus_sediba	extinct	2.588	3.6
Branisella_boliviana	extinct	21	29
Chilecebus_carrascoensis	extinct	17.5	21
Dolichocebus_gaimanensis	extinct	17.5	21
Branisella_boliviana	extinct	21	29
Qatrania_basiodontos	extinct	28.1	33.9
Qatrania_fleaglei	extinct	28.1	33.9
Homo_sapiens	extant	0	0.0117
Papio	extinct	0	0.0117
Papio	extinct	0.0117	0.126
Saadanius_hijazensis	extinct	23.03	33.9
Oligopithecus_savagei	extinct	28.1	33.9
Macaca	extinct	0.0117	0.126
Pongo_hooijeri	extinct	0.126	0.781
Pongo_pygmaeus	extinct	0.0117	0.126
Hominoidea	extinct	0.0117	0.126
Macaca	extinct	0.0117	0.126
Hylobates	extinct	0.0117	0.126
Pongo_pygmaeus	extinct	0.0117	0.126
Homo	extinct	0.0117	0.126
Pongo_pygmaeus	extinct	0.0117	2.588
Homo_sapiens	extant	0.0117	0.126
Pongo_pygmaeus	extinct	0.0117	0.126
Pongo_pygmaeus	extinct	0.0117	0.126
Pongo_pygmaeus	extinct	0.126	0.781
Gigantopithecus	extinct	0.126	0.781
Pongo	extinct	0.126	0.781
Langsonia_liquidens	extinct	0.126	0.781
Pongo_hooijeri	extinct	0.126	0.781
Aegyptopithecus_zeuxis	extinct	28.1	33.9
Equatorius_africanus	extinct	15.97	23.03
Homo_sapiens	extant	0	0.0117
Khoratpithecus_ayeyarwadyensis	extinct	7.246	11.62
Khoratpithecus	extinct	7.246	11.62
Tarsius_sirindhornae	extinct	12.75	13.65
Theropithecus_oswaldi	extant	0	2.588
Homo_sapiens	extant	0	2.588
Papio	extinct	0.0117	0.126
Homo_sapiens	extant	0.0117	0.126
Homo_sapiens	extant	0.126	0.781
Cercopithecidae	extinct	2.588	3.6
Insulacebus_toussaintiana	extant	0	0.0117
Macaca	extinct	0.126	0.781
Rhinopithecus	extinct	0.126	0.781
Pongo	extinct	0.126	0.781
Homo	extinct	0.126	0.781
Homo_sapiens	extant	0	0.0117
Homo_sapiens	extant	0	0.0117
Homo	extinct	0.0117	0.126
Homo	extinct	0.0117	0.126
Homo_sapiens	extant	0.0117	2.588
Homo_sapiens	extant	0	0.0117
Cebidae	extinct	11.8	13.8
Branisella_boliviana	extinct	21	29
Cebupithecia_sarmientoi	extinct	11.8	13.8
Neosaimiri_fieldsi	extinct	11.8	13.8
Stirtonia_tatacoensis	extinct	11.8	13.8
Homunculus	extinct	11.8	13.8
Solimoea_acrensis	extinct	5.333	11.608
Acrecebus_fraileyi	extinct	5.333	11.608
Alouatta_mauroi	extant	0	0.126
Macaca	extinct	5.333	11.608
Stirtonia	extinct	5.333	11.608
Papio	extinct	0.0117	2.588
Homo_sapiens	extant	0.0117	2.588
Stirtonia_tatacoensis	extinct	11.8	13.8
Callitrichinae	extinct	11.8	13.8
Micodon_kiotensis	extinct	11.8	13.8
Platyrrhini	extinct	15.5	16.3
Stirtonia_victoriae	extinct	11.8	13.8
Propithecia_neuquenensis	extinct	11.608	15.97
Carlocebus_carmenensis	extinct	15.97	23.03
Soriacebus	extinct	15.97	23.03
Soriacebus_ameghinorum	extinct	15.97	23.03
Soriacebus_adrianae	extinct	15.97	23.03
Soriacebus_adrianae	extinct	15.97	23.03
Soriacebus_adrianae	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Carlocebus_intermedius	extinct	15.97	23.03
Homunculus_patagonicus	extinct	15.97	23.03
Lagonimico_conclucatus	extinct	11.8	13.8
Nuciruptor_rubricae	extinct	11.8	13.8
Saimiri	extinct	16.3	17.5
Patasola_magdalenae	extinct	11.8	13.8
Cebupithecia_sarmientoi	extinct	15.5	16.3
Neosaimiri_annectens	extinct	15.5	16.3
Miocallicebus_villaviejai	extinct	11.8	13.8
Soriacebus_ameghinorum	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Platyrrhini	extinct	15.97	23.03
Dryopithecus	extinct	15.97	20.44
Pliopithecus	extinct	13.82	15.97
Notnamaia_bogenfelsi	extinct	41.3	47.8
Krabia_minuta	extinct	33.9	37.2
Homo_sapiens	extant	0.0117	0.126
Homo_sapiens	extant	0.0117	0.126
Homo_sapiens	extant	0.0117	0.126
Mesopithecus_pentelicus	extinct	5.333	8.7
Apidium_bowni	extinct	28.1	33.9
Homo	extinct	0.0117	2.588
Homo_sapiens	extant	0	0.0117
Oligopithecus_rogeri	extinct	28.4	33.9
Propliopithecus_haeckeli	extinct	28.4	33.9
Afrasia_djijidae	extinct	38	41.3
Afrasia_djijidae	extinct	38	41.3
Afrasia_djijidae	extinct	38	41.3
Apidium_zuetina	extinct	28.4	33.9
Anthropoidea	extinct	23.03	28.4
Anapithecus	extinct	9.7	11.1
Dryopithecus_brancoi	extinct	9.7	11.1
Homo	extinct	0.0117	2.588
Kamoyapithecus_hamiltoni	extinct	23.03	28.4
Kamoyapithecus_hamiltoni	extinct	23.03	28.4
Lokonepithecus_manai	extinct	23.03	33.9
Eosimias	extinct	33.9	37.2
Eosimias	extinct	33.9	37.2
Anthropoidea	extinct	28.1	33.9
Propliopithecidae	extinct	28.4	33.9
Parapithecidae	extinct	28.4	33.9
Apidium	extinct	28.4	33.9
Oligopithecidae	extinct	28.4	33.9
Afrotarsius_libycus	extinct	33.9	48.6
Biretia_piveteaui	extinct	33.9	48.6
Talahpithecus_parvus	extinct	33.9	48.6
Hesperotarsius_sindhensis	extinct	5.333	23.03
Hesperotarsius_sindhensis	extinct	5.333	23.03
Siamopithecus_eocaenus	extinct	33.9	37.2
Perupithecus_ucayaliensis	extinct	28.4	37.2
Platyrrhini	extinct	28.4	37.2
Platyrrhini	extinct	28.4	37.2
Anthropoidea	extinct	23.03	28.4
Canaanimico_amazonensis	extinct	23.03	28.4
Cebinae	extinct	5.333	11.608
Macaca	extinct	0.0117	0.126
Trachypithecus_obscurus	extinct	0.0117	0.126
Mazzonicebus_almendrae	extinct	17.5	21
Homo_sapiens	extant	0	0.0117
Homunculus	extinct	16.3	17.5
Homunculus	extinct	16.3	17.5
Homunculus_patagonicus	extinct	16.3	17.5
Homunculus_patagonicus	extinct	16.3	17.5
Homunculus_patagonicus	extinct	11.608	15.97
Homunculus_patagonicus	extinct	11.608	15.97
Homunculus_patagonicus	extinct	16.3	17.5
Homunculus_patagonicus	extinct	16.3	17.5
Homunculus_patagonicus	extinct	16.3	17.5
Homunculus_patagonicus	extinct	16.3	17.5
Homunculus_patagonicus	extinct	16.3	17.5
Tremacebus_harringtoni	extinct	17.5	21
Soriacebus_ameghinorum	extinct	15.97	23.03
Soriacebus	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Soriacebus_ameghinorum	extinct	15.97	23.03
Platyrrhini	extinct	15.97	23.03
Pitheciidae	extinct	15.97	23.03
Carlocebus_carmenensis	extinct	15.97	23.03
Branisella_boliviana	extinct	21	29
Panamacebus_transitus	extinct	15.97	20.43
Oligotarsius_rarus	extinct	28.4	33.9
Bahinia_banyueae	extinct	28.4	33.9
Amamria_tunisiensis	extinct	38	41.3
Oligopithecidae	extinct	28.1	33.9
Nsungwepithecus_gunnelli	extinct	23.03	28.4
Rukwapithecus_fleaglei	extinct	23.03	28.4
Archicebus_achilles	extinct	48.6	55.8
Pondaungia	extinct	38	41.3
Myanmarpithecus_yarshensis	extinct	38	41.3
Mesopithecus	extinct	5.333	11.608
Mesopithecus	extinct	5.333	11.608
Homo_sapiens	extant	0.0117	0.126
Mesopithecus_pentelicus	extinct	5.333	8.7
Australopithecus	extinct	0.781	2.588
Homo	extinct	0.781	2.588
Cercopithecoides	extinct	0.781	2.588
Papio_hamadryas	extant	0.781	2.588
Cercopithecidae	extinct	0.781	2.588
Paradolichopithecus	extinct	0.781	2.588
Homo_sapiens	extant	0.0117	0.126
Eosimias_centennicus	extinct	33.9	37.2
Homo_neanderthalensis	extinct	0.0117	0.126
Graecopithecus	extinct	5.333	11.608
Dolichopithecus	extinct	3.6	5.333
