"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=equidae"
"Access Time","Fri 2017-02-03 06:54:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.211"
"Records Found","5815"
"Records Returned","5815"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"170091","occ","","","15554","Hyracotherium cf. index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","3021"
"170111","occ","","","15554","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"170115","occ","","","15554","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170129","occ","","","15555","Hyracotherium cf. index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","3021"
"170146","occ","","","15555","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170160","occ","","","15556","Hyracotherium cf. index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","3021"
"170161","occ","","","15556","Hyracotherium pernix","species","47320","recombined as","Arenahippus pernix","species","46158","Wasatchian","","55.8","50.3","3021"
"170181","occ","","","15556","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170193","occ","","","15557","Hyracotherium cf. index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","3021"
"170194","occ","","","15557","Hyracotherium pernix","species","47320","recombined as","Arenahippus pernix","species","46158","Wasatchian","","55.8","50.3","3021"
"170215","occ","","","15557","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170230","occ","","","15558","Hyracotherium pernix","species","47320","recombined as","Arenahippus pernix","species","46158","Wasatchian","","55.8","50.3","3021"
"170253","occ","","","15558","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170318","occ","","","15560","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170353","occ","","","15564","Hyracotherium pernix","species","47320","recombined as","Arenahippus pernix","species","46158","Wasatchian","","55.8","50.3","3021"
"170402","occ","","","15566","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170417","occ","","","15567","Hyracotherium pernix","species","47320","recombined as","Arenahippus pernix","species","46158","Wasatchian","","55.8","50.3","3021"
"170424","occ","","","15567","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170435","occ","","","15568","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170503","occ","","","15575","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","6214"
"170542","occ","","","15576","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","6214"
"170607","occ","","","15578","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","6214"
"170621","occ","1844","","15581","Protorohippus montanus","species","51084","recombined as","Protorohippus montanum","species","47318","Wasatchian","","55.8","50.3","6294"
"170641","occ","","","15583","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
