"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=catarrhini"
"Access Time","Fri 2017-02-03 06:56:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","catarrhini"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0433"
"Records Found","675"
"Records Returned","675"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"222279","occ","","","21418","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Gelasian","","2.588","1.806","8610"
"222294","occ","","","21418","Homo habilis","species","83082","","Homo habilis","species","83082","Gelasian","","2.588","1.806","8610"
"222314","occ","","","21420","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","8610"
"222390","occ","","","21441","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222391","occ","","","21441","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"222392","occ","","","21441","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222434","occ","","","21445","Homo aff. erectus","species","83084","","Homo erectus","species","83084","Pliocene","Pleistocene","5.333","0.0117","8610"
"222531","occ","","","21455","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222532","occ","","","21455","Homo aff. erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"222533","occ","","","21455","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222627","occ","","","21461","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","10321"
"222660","occ","","","21462","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222697","occ","","","21464","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222725","occ","","","21468","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"222829","occ","","","21478","Homo habilis","species","83082","","Homo habilis","species","83082","Gelasian","","2.588","1.806","8610"
"222886","occ","","","21484","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","8610"
"222949","occ","","","21495","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Pliocene","Pleistocene","5.333","0.0117","4469"
"222986","occ","","","21498","Homo sp.","genus","40901","","Homo","genus","40901","Pliocene","Calabrian","5.333","0.781","8610"
"222993","occ","","","21498","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Pliocene","Calabrian","5.333","0.781","8610"
"223042","occ","","","21502","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Pliocene","Calabrian","5.333","0.781","8610"
"223050","occ","","","21502","Homo habilis","species","83082","","Homo habilis","species","83082","Pliocene","Calabrian","5.333","0.781","8610"
"223062","occ","","","21503","Homo sp.","genus","40901","","Homo","genus","40901","Gelasian","","2.588","1.806","8610"
"223095","occ","","","21504","Homo sp.","genus","40901","","Homo","genus","40901","Gelasian","","2.588","1.806","8610"
"223113","occ","","","21504","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","8610"
"223138","occ","","","21507","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","4447"
"223208","occ","","","21515","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"223220","occ","","","21515","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"223240","occ","","","21543","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","5263"
"223254","occ","","","21545","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"223257","occ","","","21545","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"223282","occ","","","21545","cf. Homo sp.","genus","40901","","Homo","genus","40901","Gelasian","","2.588","1.806","4769"
"223284","occ","","","21546","Hominidae indet.","family","40899","","Hominidae","family","40899","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223319","occ","","","21546","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223339","occ","","","21549","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","4486"
"223362","occ","","","21553","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"223368","occ","","","21553","cf. Homo sp.","genus","40901","","Homo","genus","40901","Gelasian","","2.588","1.806","4769"
"223386","occ","","","21555","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4447"
"223393","occ","","","21555","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4447"
"223396","occ","","","21556","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4486"
"223398","occ","","","21557","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4486"
"223412","occ","","","21561","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4447"
"223440","occ","","","21566","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4769"
"223451","occ","","","21566","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Gelasian","","2.588","1.806","4769"
"223509","occ","","","21580","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"223531","occ","","","21586","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4769"
"223546","occ","","","21591","Homo cf. habilis","species","83082","","Homo habilis","species","83082","Gelasian","","2.588","1.806","4486"
"223571","occ","","","21599","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","4486"
"223575","occ","","","21600","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Piacenzian","","3.6","2.588","5263"
